ReactomeID	CHEBI	XREF_Type	XREF_ID
-10833	CHEBI:16225	CompoundSynonym	S-Formylglutathione
-10833	CHEBI:16225	CompoundTerm	S-formylglutathione
-10833	CHEBI:16225	LIGAND	C01031
-10994	CHEBI:29593	CompoundSynonym	GA34
-10994	CHEBI:29593	LIGAND	C11868
-11159	CHEBI:75407	LIGAND	C15883
-11159	CHEBI:75921	CompoundSynonym	2,3-dimethyl-6-phytyl-1,4-benzoquinol
-11248	CHEBI:75406	LIGAND	C15882
-11248	CHEBI:75920	CompoundSynonym	2-methyl-6-phytyl-1,4-benzoquinol
-11248	CHEBI:75920	LIGAND	C15882
-11367	CHEBI:5407	LIGAND	C08412
-11413	CHEBI:28965	CompoundSynonym	dicarboxylate
-11413	CHEBI:35692	LIGAND	C02028
-11691	CHEBI:28824	CompoundSynonym	Stigmasterol
-11691	CHEBI:28824	LIGAND	C05442
-11768	CHEBI:18534	CompoundSynonym	campest-4-en-3-one
-11768	CHEBI:18534	CompoundTerm	campest-4-en-3-one
-11830	CHEBI:20717	CompoundSynonym	6-deoxotyphasterol
-11830	CHEBI:20717	CompoundSynonym	6-Deoxotyphasterol
-11830	CHEBI:20717	CompoundTerm	6-deoxotyphasterol
-11830	CHEBI:20717	LIGAND	C15801
-11854	CHEBI:27173	CompoundTerm	typhasterol
-11927	CHEBI:28604	CompoundTerm	isofucosterol
-11952	CHEBI:19812	CompoundTerm	24-methylenecholesterol
-12019	CHEBI:35746	CompoundTerm	fatty aldehyde
-12392	CHEBI:29600	LIGAND	C11854
-12405	CHEBI:29599	CompoundSynonym	GA51
-12405	CHEBI:29599	LIGAND	C11865
-12856	CHEBI:67190	CompoundSynonym	carlactone
-12856	CHEBI:67190	CompoundTerm	carlactone
-12860	CHEBI:67191	CompoundSynonym	(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal
-12860	CHEBI:67191	CompoundTerm	(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal
-12870	CHEBI:67192	CompoundSynonym	9-cis-10'-apo-beta-carotenal
-12870	CHEBI:67192	CompoundTerm	9-cis-10'-apo-beta-carotenal
-12938	CHEBI:67188	CompoundSynonym	9-cis-beta-carotene
-12938	CHEBI:67188	CompoundTerm	9-cis-beta-carotene
-12959	CHEBI:23292	CompoundTerm	cis-3-hexenal
-13175	CHEBI:15541	CAS	362-66-3
-13175	CHEBI:15541	CompoundSynonym	Stearoyl-CoA
-13175	CHEBI:15541	CompoundTerm	stearoyl-CoA
-13175	CHEBI:15541	LIGAND	C00412
-13210	CHEBI:74037	CompoundSynonym	3-oxo-(11Z)-eicos-11-enoyl-CoA
-13219	CHEBI:15534	CompoundSynonym	Oleoyl-CoA
-13219	CHEBI:15534	CompoundTerm	oleoyl-CoA
-13219	CHEBI:15534	LIGAND	C00510
-13326	CHEBI:27506	LIGAND	C08424
-13326	CHEBI:64965	LIGAND	C08424
-13466	CHEBI:42191	CompoundSynonym	edta
-13466	CHEBI:42191	CompoundSynonym	EDTA
-13466	CHEBI:42191	LIGAND	C00284
-13498	CHEBI:35910	CompoundSynonym	2-oxo acid
-13498	CHEBI:35910	CompoundSynonym	2-Oxo acid
-13498	CHEBI:35910	LIGAND	C00161
-13525	CHEBI:50707	CompoundTerm	homomethionine
-1394	CHEBI:15531	CAS	524-14-1
-1394	CHEBI:15531	CompoundSynonym	Malonyl-CoA
-1394	CHEBI:15531	CompoundTerm	malonyl-CoA
-1394	CHEBI:15531	LIGAND	C00083
-14100	CHEBI:15444	CompoundSynonym	1,4-alpha-D-glucan
-14100	CHEBI:15444	CompoundSynonym	1,4-alpha-D-Glucan
-14100	CHEBI:28102	LIGAND	C00718
-14261	CHEBI:60190	CompoundTerm	homogalacturonan
-14362	CHEBI:18047	CAS	462-20-4
-14362	CHEBI:18047	LIGAND	C02147
-14362	CHEBI:30316	CompoundSynonym	dihydrolipoate
-14362	CHEBI:30316	CompoundTerm	dihydrolipoate
-1447	CHEBI:16238	CAS	146-14-5
-1447	CHEBI:16238	CompoundSynonym	FAD
-1447	CHEBI:16238	CompoundTerm	FAD
-1447	CHEBI:16238	LIGAND	C00016
-1447	CHEBI:57692	CompoundSynonym	FAD
-1447	CHEBI:73627	CompoundSynonym	FAD
-14524	CHEBI:29256	CompoundSynonym	Thiol
-14524	CHEBI:29256	CompoundTerm	thiol
-14524	CHEBI:29256	LIGAND	C00145
-14524	CHEBI:29917	CompoundSynonym	thiol
-14665	CHEBI:20000	CompoundTerm	3-dehydroteasterone
-14694	CHEBI:23057	CompoundTerm	cathasterone
-14728	CHEBI:26863	CompoundTerm	teasterone
-14735	CHEBI:18535	CompoundSynonym	campest-4-en-3beta-ol
-14735	CHEBI:18535	CompoundTerm	campest-4-en-3beta-ol
-14772	CHEBI:36799	CompoundTerm	campestanol
-14785	CHEBI:20747	CompoundTerm	6-oxocampestanol
-14993	CHEBI:16286	CompoundSynonym	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
-14993	CHEBI:16286	CompoundSynonym	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
-14993	CHEBI:16286	CompoundTerm	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde
-14993	CHEBI:16286	LIGAND	C11509
-15132	CHEBI:29588	CompoundSynonym	GA14
-15132	CHEBI:29588	LIGAND	C11858
-15183	CHEBI:72598	CompoundSynonym	GA13
-15206	CHEBI:32906	CompoundSynonym	GA24
-15276	CHEBI:28412	CompoundSynonym	Eriodictyol
-15276	CHEBI:28412	CompoundTerm	eriodictyol
-15276	CHEBI:28412	LIGAND	C05631
-15298	CHEBI:17846	CompoundSynonym	Naringenin
-15298	CHEBI:17846	CompoundSynonym	NARINGENIN
-15298	CHEBI:50202	CompoundTerm	naringenin
-15345	CHEBI:16900	CAS	14897-06-4
-15345	CHEBI:16900	CompoundSynonym	Chlorophyllide a
-15345	CHEBI:16900	CompoundTerm	chlorophyllide a
-15345	CHEBI:16900	LIGAND	C02139
-15396	CHEBI:28157	CompoundSynonym	(2S)-pinocembrin
-15396	CHEBI:28157	LIGAND	C09827
-15488	CHEBI:28103	LIGAND	C09826
-15605	CHEBI:75838	CompoundSynonym	phytyl monophosphate
-15674	CHEBI:38209	CompoundSynonym	chlorophyllide b
-15674	CHEBI:38209	CompoundTerm	chlorophyllide b
-15693	CHEBI:27888	CompoundSynonym	chlorophyll b
-15693	CHEBI:27888	CompoundSynonym	Chlorophyll b
-15693	CHEBI:27888	CompoundSynonym	CHLOROPHYLL B
-15693	CHEBI:27888	CompoundTerm	chlorophyll b
-15693	CHEBI:27888	LIGAND	C05307
-15693	CHEBI:61721	CompoundSynonym	chlorophyll b
-15767	CHEBI:18345	LIGAND	C04579
-16007	CHEBI:15509	LIGAND	C03160
-16168	CHEBI:15417	LIGAND	C11874
-16168	CHEBI:57297	CompoundSynonym	ent-kaur-16-en-19-oate
-16168	CHEBI:57297	CompoundTerm	ent-kaur-16-en-19-oate
-16236	CHEBI:72616	CompoundSynonym	Isopentenyladenine-9-N-glucoside
-16329	CHEBI:74321	CompoundSynonym	isopentenyladenine-7-N-glucoside
-16403	CHEBI:72607	CompoundSynonym	cis-zeatin-9-N-glucoside
-16418	CHEBI:72604	CompoundSynonym	benzyladenine-9-N-glucoside
-16467	CHEBI:72620	CompoundSynonym	Kinetin-9-N-glucoside
-16635	CHEBI:15418	CompoundSynonym	ent-kaurenal
-16731	CHEBI:17877	CAS	1910-41-4
-16731	CHEBI:17877	CompoundSynonym	FADH2
-16731	CHEBI:17877	CompoundTerm	FADH2
-16731	CHEBI:17877	LIGAND	C01352
-16731	CHEBI:58307	CompoundSynonym	FADH2
-1687	CHEBI:15524	CompoundSynonym	Glutaryl-CoA
-1687	CHEBI:15524	CompoundTerm	glutaryl-CoA
-1687	CHEBI:15524	LIGAND	C00527
-17008	CHEBI:72609	CompoundSynonym	trans-zeatin-9-N-glucoside
-17106	CHEBI:72612	CompoundSynonym	dihydrozeatin-9-N-glucoside
-17131	CHEBI:17874	CAS	23599-75-9
-17131	CHEBI:17874	CompoundSynonym	Dihydrozeatin
-17131	CHEBI:17874	CompoundTerm	dihydrozeatin
-17131	CHEBI:17874	LIGAND	C02029
-17307	CHEBI:21763	CompoundSynonym	N-Monomethylethanolamine
-17614	CHEBI:27650	CompoundSynonym	THF-L-glutamate
-17839	CHEBI:30619	LIGAND	C11831
-18079	CHEBI:15809	LIGAND	C03862
-18079	CHEBI:17624	CompoundSynonym	Dolichyl beta-D-mannosyl phosphate
-18079	CHEBI:17624	CompoundTerm	dolichyl beta-D-mannosyl phosphate
-18079	CHEBI:58211	CompoundSynonym	dolichyl beta-D-mannosyl phosphate
-18111	CHEBI:17454	CompoundSynonym	UDP-L-rhamnose
-18111	CHEBI:17454	CompoundTerm	UDP-L-rhamnose
-18111	CHEBI:17454	LIGAND	C02199
-18118	CHEBI:16553	CompoundSynonym	UDP-4-dehydro-6-deoxy-D-glucose
-18118	CHEBI:16553	CompoundTerm	UDP-4-dehydro-6-deoxy-D-glucose
-18118	CHEBI:16553	LIGAND	C04089
-18126	CHEBI:15926	CompoundSynonym	Dolichyl diphosphooligosaccharide
-18126	CHEBI:15926	CompoundTerm	dolichyl diphosphooligosaccharide
-18126	CHEBI:15926	LIGAND	C04213
-18149	CHEBI:15812	CompoundSynonym	Dolichyl beta-D-glucosyl phosphate
-18149	CHEBI:15812	CompoundTerm	dolichyl beta-D-glucosyl phosphate
-18149	CHEBI:15812	LIGAND	C01246
-18149	CHEBI:57525	CompoundSynonym	dolichyl beta-D-glucosyl phosphate
-1827	CHEBI:15380	CAS	604-98-8
-1827	CHEBI:15380	CompoundSynonym	succinyl-CoA
-1827	CHEBI:15380	CompoundSynonym	Succinyl-CoA
-1827	CHEBI:15380	CompoundTerm	succinyl-CoA
-1827	CHEBI:15380	LIGAND	C00091
-18498	CHEBI:21437	CompoundSynonym	molybdenum cofactor
-18498	CHEBI:21437	CompoundSynonym	Molybdenum cofactor
-18498	CHEBI:60525	CompoundSynonym	molybdenum cofactor
-18498	CHEBI:71302	CompoundSynonym	molybdenum cofactor
-18498	CHEBI:71306	CompoundSynonym	molybdenum cofactor
-18520	CHEBI:62727	CompoundSynonym	adenylyl-molybdopterin
-18520	CHEBI:62728	CompoundSynonym	adenylyl-molybdopterin
-18747	CHEBI:27748	LIGAND	C05841
-18747	CHEBI:58527	CompoundSynonym	beta-D-ribosylnicotinate
-18938	CHEBI:61690	CompoundSynonym	(+)-alpha-barbatene
-18938	CHEBI:61690	CompoundTerm	(+)-alpha-barbatene
-19117	CHEBI:3978	LIGAND	C08639
-19200	CHEBI:55334	LIGAND	C16301
-19244	CHEBI:53001	CompoundSynonym	NiSO4
-19256	CHEBI:28420	CompoundSynonym	p-Chloromercuribenzoate
-19256	CHEBI:28420	LIGAND	C03444
-19336	CHEBI:28529	CompoundSynonym	Quercetin 7-O-glucoside
-19428	CHEBI:24279	CompoundSynonym	glucosinolate
-19428	CHEBI:24279	CompoundTerm	glucosinolate
-19447	CHEBI:18379	CompoundSynonym	nitrile
-19447	CHEBI:18379	CompoundSynonym	Nitrile
-19447	CHEBI:18379	CompoundTerm	nitrile
-19447	CHEBI:18379	LIGAND	C00726
-19466	CHEBI:28494	CompoundSynonym	Cardiolipin
-19466	CHEBI:28494	CompoundSynonym	CARDIOLIPIN
-19466	CHEBI:28494	CompoundTerm	cardiolipin
-19466	CHEBI:28494	LIGAND	C05980
-19473	CHEBI:28205	CompoundSynonym	Phaseic acid
-19473	CHEBI:28205	CompoundTerm	phaseic acid
-19473	CHEBI:28205	LIGAND	C09707
-19620	CHEBI:28586	CompoundTerm	verbascose
-19620	CHEBI:28586	LIGAND	C08252
-19631	CHEBI:28554	CompoundSynonym	Ajugose
-19631	CHEBI:28554	CompoundTerm	ajugose
-19631	CHEBI:28554	LIGAND	C08238
-19820	CHEBI:17558	CompoundSynonym	Quercetin 3-O-rhamnoside
-19838	CHEBI:28299	LIGAND	C05623
-20035	CHEBI:27867	CompoundSynonym	antheraxanthin
-20035	CHEBI:27867	CompoundSynonym	Antheraxanthin
-20035	CHEBI:27867	CompoundTerm	antheraxanthin
-20035	CHEBI:27867	LIGAND	C08579
-20088	CHEBI:51973	CompoundTerm	9-cis-epoxycarotenoid
-20093	CHEBI:51972	CompoundTerm	12'-apo-carotenal
-20106	CHEBI:27989	CompoundSynonym	3-cis-Dodecenoyl-CoA
-20106	CHEBI:27989	LIGAND	C02944
-20111	CHEBI:15471	CompoundSynonym	2-trans-Dodecenoyl-CoA
-20111	CHEBI:15471	LIGAND	C03221
-20134	CHEBI:34597	CompoundTerm	(3S,5R,6S)-5,6-epoxy-3-hydroxy-5,6-dihydro-12'-apo-beta-caroten-12'-al
-20196	CHEBI:52618	CompoundSynonym	2-Hydroxy carboxylate
-20196	CHEBI:52618	LIGAND	C02929
-20196	CHEBI:58896	CompoundTerm	2-hydroxy carboxylate
-20202	CHEBI:17491	CompoundSynonym	S-(2-Hydroxyacyl)glutathione
-20202	CHEBI:17491	CompoundTerm	S-(2-hydroxyacyl)glutathione
-20202	CHEBI:17491	LIGAND	C03899
-20333	CHEBI:27295	CompoundTerm	violaxanthin
-20333	CHEBI:35288	CompoundSynonym	Violaxanthin
-20333	CHEBI:35288	LIGAND	C08614
-20345	CHEBI:35305	CompoundSynonym	9-cis-Violaxanthin
-20345	CHEBI:35305	CompoundTerm	9-cis-violaxanthin
-20345	CHEBI:35305	LIGAND	C13433
-20487	CHEBI:66962	CompoundSynonym	cannabigerolate
-20487	CHEBI:66962	CompoundTerm	cannabigerolate
-20616	CHEBI:32446	LIGAND	C08606
-20681	CHEBI:35063	CompoundSynonym	alpha-Zeacarotene
-20681	CHEBI:35063	CompoundTerm	alpha-zeacarotene
-20681	CHEBI:35063	LIGAND	C14146
-20790	CHEBI:17531	CompoundSynonym	trans-beta-D-glucosyl-2-hydroxycinnamate
-20790	CHEBI:17531	CompoundSynonym	trans-beta-D-Glucosyl-2-hydroxycinnamate
-20790	CHEBI:17531	LIGAND	C05158
-20790	CHEBI:58181	CompoundTerm	trans-beta-D-glucosyl-2-hydroxycinnamate
-20832	CHEBI:32549	CompoundTerm	epsilon-carotene
-20834	CHEBI:27705	CompoundTerm	delta-carotene
-20834	CHEBI:27705	LIGAND	C08586
-21045	CHEBI:20712	CompoundTerm	6-deoxocastasterone
-21045	CHEBI:20712	LIGAND	C15802
-21066	CHEBI:17326	CompoundSynonym	Nucleoside triphosphate
-21066	CHEBI:17326	CompoundTerm	nucleoside triphosphate
-21066	CHEBI:17326	LIGAND	C00201
