EC:1 	 GO:0016491
EC:1.1 	 GO:0016614
EC:1.1.1 	 GO:0016616
EC:1.1.1.1 	 GO:0004022
EC:1.1.1.10 	 GO:0050038
EC:1.1.1.100 	 GO:0004316
EC:1.1.1.101 	 GO:0000140
EC:1.1.1.102 	 GO:0047560
EC:1.1.1.103 	 GO:0008743
EC:1.1.1.104 	 GO:0016617
EC:1.1.1.105 	 GO:0004745
EC:1.1.1.106 	 GO:0050166
EC:1.1.1.107 	 GO:0050235
EC:1.1.1.108 	 GO:0047728
EC:1.1.1.11 	 GO:0047813
EC:1.1.1.110 	 GO:0047722
EC:1.1.1.111 	 GO:0019155
EC:1.1.1.112 	 GO:0047718
EC:1.1.1.113 	 GO:0050037
EC:1.1.1.114 	 GO:0047674
EC:1.1.1.115 	 GO:0050259
EC:1.1.1.116 	 GO:0047816
EC:1.1.1.117 	 GO:0045290
EC:1.1.1.118 	 GO:0047934
EC:1.1.1.119 	 GO:0047935
EC:1.1.1.12 	 GO:0050019
EC:1.1.1.120 	 GO:0047910
EC:1.1.1.121 	 GO:0047640
EC:1.1.1.122 	 GO:0047834
EC:1.1.1.123 	 GO:0050287
EC:1.1.1.124 	 GO:0047903
EC:1.1.1.125 	 GO:0008678
EC:1.1.1.126 	 GO:0047000
EC:1.1.1.127 	 GO:0047001
EC:1.1.1.129 	 GO:0050036
EC:1.1.1.13 	 GO:0047002
EC:1.1.1.130 	 GO:0047559
EC:1.1.1.131 	 GO:0050090
EC:1.1.1.132 	 GO:0047919
EC:1.1.1.133 	 GO:0008831
EC:1.1.1.134 	 GO:0047003
EC:1.1.1.135 	 GO:0047916
EC:1.1.1.136 	 GO:0047004
EC:1.1.1.137 	 GO:0050256
EC:1.1.1.138 	 GO:0050085
EC:1.1.1.14 	 GO:0003939
EC:1.1.1.140 	 GO:0009010
EC:1.1.1.141 	 GO:0016404
EC:1.1.1.142 	 GO:0047832
EC:1.1.1.143 	 GO:0050280
EC:1.1.1.144 	 GO:0018457
EC:1.1.1.145 	 GO:0003854
EC:1.1.1.146 	 GO:0070524
EC:1.1.1.147 	 GO:0047005
EC:1.1.1.148 	 GO:0047881
EC:1.1.1.149 	 GO:0047006
EC:1.1.1.15 	 GO:0047824
