"FRAME_ID"	"CHEBI_ID"	"CHEBI_NAME"	"SYNONYMS"	"SMILES"	"NAMES"	"DBLINKS"
"CPD-5881"	"CHEBI:15374"	"4a-hydroxytetrahydrobiopterin"	"4alpha-hydroxy-5,6,7,8-tetrahydrobiopterin$4alpha-hydroxy-tetrahydropterin$6R)-6-(L-erythro-1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4alpha-hydroxypterin"	"C[CH](O)[CH](O)C1(CNC2(=NC(N)=NC(=O)C(O)(N1)2))"	"4alpha-hydroxy-tetrahydrobiopterin$4alpha-hydroxy-5,6,7,8-tetrahydrobiopterin$4alpha-hydroxy-tetrahydropterin$6R)-6-(L-erythro-1,2-dihydroxypropyl)-5,6,7,8-tetrahydro-4alpha-hydroxypterin"	""
"N-ACETYL-GLUTAMYL-P"	"CHEBI:16878"	"N-acetyl-L-gamma-glutamyl phosphate"	"N-Acetyl-L-glutamyl 5-phosphate$N-acetyl-L-glutamate-5-phosphate$N-acetyl-glutamyl-P$N-acetylglutamyl-P$N-acetyl-5-glutamyl phosphate"	"CC(NC(CCC(=O)OP(=O)(O)O)C(=O)O)=O"	"N-acetylglutamyl-phosphate$N-Acetyl-L-glutamyl 5-phosphate$N-acetyl-L-glutamate-5-phosphate$N-acetyl-glutamyl-P$N-acetylglutamyl-P$N-acetyl-5-glutamyl phosphate"	"(PUBCHEM ""440236"" NIL |keseler| 3342465342 NIL NIL)$(LIGAND-CPD ""C04133"" NIL |keseler| 3342465342 NIL NIL)"
"L-DELTA1-PYRROLINE_5-CARBOXYLATE"	"CHEBI:1372"	"1-pyrroline-5-carboxylic acid"	"L-Delta1-pyrroline-5-carboxylate$(S)-1-pyrroline-5-carboxylate$1-pyrroline-5-carboxylate$L-1-pyrroline-5-carboxylate$delta-1-pyrroline-5-carboxylic acid$delta-1-pyrroline-5-carboxylate"	"C1(CCC(N=1)C(=O)O)"	"pyrroline 5-carboxylate$L-Delta1-pyrroline-5-carboxylate$(S)-1-pyrroline-5-carboxylate$1-pyrroline-5-carboxylate$L-1-pyrroline-5-carboxylate$delta-1-pyrroline-5-carboxylic acid$delta-1-pyrroline-5-carboxylate"	"(LIGAND-CPD ""C03912"" NIL |kr| 3346617700 NIL NIL)$(CAS ""2906-39-0"")"
"CPD-10454"	"CHEBI:16692"	"diphthamide residue"	"2'-[3-carboxamido-3-(trimethylammonio)propyl]-L-histidine$2-[(3R)-3-carbamoyl-3-(trimethylammonio)propyl]-L-histidyl${3-[4-(2-amino-2-carboxy-ethyl)-1H-imidazol-2-YL]-1-carbomyl-propyl}-trimethyl-ammonium"	"C(=O)(N)C([N+](C)(C)C)CCC1(NC=C(N=1)CC(NC(=O)[R2])C(=O)N[R1])"	"peptide diphthamide$2'-[3-carboxamido-3-(trimethylammonio)propyl]-L-histidine$2-[(3R)-3-carbamoyl-3-(trimethylammonio)propyl]-L-histidyl${3-[4-(2-amino-2-carboxy-ethyl)-1H-imidazol-2-YL]-1-carbomyl-propyl}-trimethyl-ammonium"	"(PUBCHEM ""25245981"" NIL |taltman| 3451921009 NIL NIL)$(LIGAND-CPD ""C02872"" NIL |kothari| 3431178543 NIL NIL)$(CHEBI ""16692"" NIL |kothari| 3431178543 NIL NIL)"
"ETHANOL-AMINE"	"CHEBI:16000"	"ethanolamine"	"2-aminoethanol$monoethanolamine$colamine$ethanol-amine"	"C(CO)N"	"ethanolamine$2-aminoethanol$monoethanolamine$colamine$ethanol-amine"	"(LIGAND ""C00189"" NIL |kaipa| 3311532624 NIL NIL)$(LIGAND-CPD ""C00189"" NIL |kaipa| 3311532624 NIL NIL)$(CAS ""141-43-5"")"
"THIAMINE-P"	"CHEBI:9533"	"thiamine(1+) monophosphate"	"thiamin monophosphate$thiamin phosphate$thiamin-P$thiamine-Pi$ThP$thiamine monophosphate"	"C([n+]1(c(C)c(CCOP(O)(=O)O)sc1))c2(c(nc(nc2)C)N)"	"thiamine-phosphate$thiamin monophosphate$thiamin phosphate$thiamin-P$thiamine-Pi$ThP$thiamine monophosphate"	"(CAS ""532-40-1"" NIL |kr| 3346617699 NIL NIL)$(LIGAND-CPD ""C01081"" NIL |kr| 3346617699 NIL NIL)"
"1-AMINO-PROPAN-2-ONE-3-PHOSPHATE"	"CHEBI:1449"	"3-amino-2-oxopropyl phosphate"	""	"C(C(=O)CN)OP(=O)(O)O"	"1-amino-propan-2-one-3-phosphate"	""
"QUINATE"	"CHEBI:29751"	"()-quinate"	"L-quinate$quinic acid"	"[CH2]1(C(C(=O)O)([CH2][CH](O)[CH]([CH]1O)O)O)"	"quinate$L-quinate$quinic acid"	"(LIGAND-CPD ""C00296"" NIL |kaipa| 3311532626 NIL NIL)$(CAS ""77-95-2"")"
"3-P-HYDROXYPYRUVATE"	"CHEBI:30933"	"3-phosphonooxypyruvic acid"	"3-phosphonooxypyruvate$3-P-hydroxypyruvate$3-p-OH-pyr$3-phosphohydroxypyruvate$3-p-OH-pyruvate$3-p-hydroxy-pyr$3-phosphohydroxy-pyr$phosphohydroxypyruate"	"C(OP(O)(=O)O)C(=O)C(=O)O"	"3-phospho-hydroxypyruvate$3-phosphonooxypyruvate$3-P-hydroxypyruvate$3-p-OH-pyr$3-phosphohydroxypyruvate$3-p-OH-pyruvate$3-p-hydroxy-pyr$3-phosphohydroxy-pyr$phosphohydroxypyruate"	"(LIGAND-CPD ""C03232"" NIL |kr| 3346617699 NIL NIL)$(CAS ""3913-50-6"")"
"3-OH-BENZYL-ALCOHOL"	"CHEBI:17069"	"3-hydroxybenzyl alcohol"	"3-Hydroxybenzenemethanol"	"C(c1(cccc(c1)O))O"	"3-hydroxybenzyl alcohol$3-Hydroxybenzenemethanol"	"(CAS ""620-24-6"")"
